plot,Rep,Row,Column,taxa,Anthesis,Silking
1001,1,1,1,B97,72,77
1002,1,1,2,NS501,67,68
1003,1,1,3,LH59,71,73
1004,1,1,4,PHRE1,63,62
1005,1,1,5,PHR63,73,78
1006,1,1,6,LH74,71,69
1007,1,1,7,R227,77,81
1008,1,1,8,Pa405,69,72
1009,1,1,9,B85,69,71
1010,1,1,10,B97,72,76
1011,1,1,11,A508,62,61
1012,1,1,12,B97,73,75
1013,1,1,13,N7A,75,78
1014,1,1,14,Mo3,81,83
1015,1,1,15,B97,71,75
1016,1,1,16,6M502A,73,76
1017,1,1,17,A15,59,61
1018,1,1,18,B97,73,76
1019,1,1,19,CO245,60,61
1020,1,1,20,K64,79,79
1021,1,1,21,SD15,69,71
1022,1,1,22,LH260,71,71
1023,1,1,23,CO106,63,65
1024,1,1,24,B68,76,81
1025,1,1,25,NS701,75,77
1026,1,1,26,CML_323,81,86
1027,1,1,27,DKMM402A,72,77
1028,1,1,28,W8555,76,77
1029,1,2,1,DE3,71,73
1030,1,2,2,PHR31,71,73
1031,1,2,3,DK78010,69,71
1032,1,2,4,LH222,66,64
1033,1,2,5,Va99,73,76
1034,1,2,6,GE129,77,83
1035,1,2,7,CL27,57,59
1036,1,2,8,NORTH_7,69,71
1037,1,2,9,78551S,69,69
1038,1,2,10,Sg_18,75,76
1039,1,2,11,H124w,76,76
1040,1,2,12,B73,75,76
1041,1,2,13,F2834T,76,78
1042,1,2,14,CSJ3,56,59
1043,1,2,15,Yong_28,75,77
1044,1,2,16,W810G,73,76
1045,1,2,17,INBRED_309,73,81
1046,1,2,18,B97,72,77
1047,1,2,19,FR19,69,71
1048,1,2,20,NC294,77,81
1049,1,2,21,PHT10,75,76
1050,1,2,22,A239,71,71
1051,1,2,23,A415-1-3_INBRED,77,77
1052,1,2,24,Seagull_Seventeen,72,77
1053,1,2,25,MS116,66,72
1054,1,2,26,DKMBZA,75,78
1055,1,2,27,N501,68,72
1056,1,2,28,Pa392,66,71
1057,1,3,1,K150,71,77
1058,1,3,2,I29,66,68
1059,1,3,3,A635,66,68
1060,1,3,4,W182E,65,67
1061,1,3,5,N192,67,68
1062,1,3,6,DK8M116,76,78
1063,1,3,7,T232,77,78
1064,1,3,8,L_139,68,68
1065,1,3,9,B97,71,73
1066,1,3,10,DE2,73,77
1067,1,3,11,B97,71,75
1068,1,3,12,S_56,57,60
1069,1,3,13,CI_91B,75,77
1070,1,3,14,911,64,66
1071,1,3,15,CI_64,81,81
1072,1,3,16,EP1,61,63
1073,1,3,17,A344,63,63
1074,1,3,18,B106,71,76
1075,1,3,19,B97,71,77
1076,1,3,20,YING-55,66,71
1077,1,3,21,MBST,71,72
1078,1,3,22,CML_154Q,82,83
1079,1,3,23,A321,69,71
1080,1,3,24,H114,73,73
1081,1,3,25,INBRED_100,79,86
1082,1,3,26,J47,75,78
1083,1,3,27,NC364,73,76
1084,1,3,28,87916W,75,78
1085,1,4,1,PHZ51,71,72
1086,1,4,2,S8324,65,67
1087,1,4,3,A627,67,71
1088,1,4,4,MEF156-55-2,62,63
1089,1,4,5,F42,67,67
1090,1,4,6,CML_322,85,86
1091,1,4,7,IBB14,68,69
1092,1,4,8,NK794,69,69
1093,1,4,9,DKFBHJ,71,71
1094,1,4,10,INBRED_321,77,79
1095,1,4,11,CH157,65,66
1096,1,4,12,DKNL001,71,71
1097,1,4,13,ND247,64,67
1098,1,4,14,LH39,69,69
1099,1,4,15,LH212Ht,73,73
1100,1,4,16,NC348,77,77
1101,1,4,17,L317,77,83
1102,1,4,18,B97,73,77
1103,1,4,19,B97,71,77
