plot,Rep,Row,Column,taxa,Anthesis,Silking,Silking.sp,Anthesis.sp,Silking.sp.sp
1001,1,1,1,B97,72,77,77.7240180077956,73.8062358101278,77.7243485055961
1002,1,1,2,NS501,67,68,73.1607227180913,71.2386796978907,73.1610032689627
1003,1,1,3,LH59,71,73,75.5973574145278,73.1711164870248,75.5975894218063
1004,1,1,4,PHRE1,63,62,70.033891335522,69.1035460284889,70.0340767706117
1005,1,1,5,PHR63,73,78,77.9703431035756,74.0359815810381,77.9704832980734
1006,1,1,6,LH74,71,69,73.4067480063647,72.9684397321787,73.4068432783611
1007,1,1,7,R227,77,81,79.3431507275589,75.9009380277972,79.3432002008314
1008,1,1,8,Pa405,69,72,74.7795426873831,71.8334789434157,74.779545668971
1009,1,1,9,B85,69,71,74.2158741304728,71.7660535133278,74.2158311883445
1010,1,1,10,B97,72,76,76.6520978970356,73.1986544037682,76.6520109106834
1011,1,1,11,A508,62,61,69.0881679834967,68.1312743027489,69.0880401997956
1012,1,1,12,B97,73,75,76.0240364785172,73.5639025204778,76.0238726931096
1013,1,1,13,N7A,75,78,77.4596623559635,74.4965267719401,77.4594687577935
1014,1,1,14,Mo3,81,83,79.895020849183,77.4291329550161,79.8948045734797
1015,1,1,15,B97,71,75,75.8300820247225,72.3617012074838,75.829851151541
1016,1,1,16,6M502A,73,76,76.2648059126185,73.2942043027722,76.2645695486023
1017,1,1,17,A15,59,61,68.6991454171507,66.2266118982583,68.6989137727744
1018,1,1,18,B97,73,76,76.1330517376508,73.1588941953391,76.1328361092016
1019,1,1,19,CO245,60,61,68.5665002337283,66.5910403589109,68.5663124613553
1020,1,1,20,K64,79,79,77.4994829922811,76.0230515685792,77.4993350895059
1021,1,1,21,SD15,69,71,73.432015550552,70.9549430054202,73.4319191944772
1022,1,1,22,LH260,71,71,73.3641266754773,71.8867320667576,73.3640928977998
1023,1,1,23,CO106,63,65,70.2958623539722,67.8184333846351,70.2959011174772
1024,1,1,24,B68,76,81,78.2272993730819,74.2500643430804,78.2274188422533
1025,1,1,25,NS701,75,77,76.1585501853822,73.6816461955088,76.1587558791462
1026,1,1,26,CML_323,81,86,80.589708066675,76.6131973888011,80.5900032316535
1027,1,1,27,DKMM402A,72,77,76.020842824964,72.0447326956008,76.0212289161389
1028,1,1,28,W8555,76,77,75.9519736118118,73.9762571894542,75.9524513968064
1029,1,2,1,DE3,71,73,75.6388919176492,73.228683599459,75.6392365864019
1030,1,2,2,PHR31,71,73,75.5781622900614,73.1634240804675,75.5784559574236
1031,1,2,3,DK78010,69,71,74.5173538164339,72.0981515412647,74.517598285656
1032,1,2,4,LH222,66,64,70.9564393109645,70.5328668427667,70.9566369230432
1033,1,2,5,Va99,73,76,76.8954581808379,73.9675913912816,76.8956101870447
1034,1,2,6,GE129,77,83,80.3344698117999,75.9023516018394,80.3345759134672
1035,1,2,7,CL27,57,59,68.2735427733943,65.8371752903587,68.2736009344914
1036,1,2,8,NORTH_7,69,71,74.2126700714937,71.7720679550037,74.2126783747187
1037,1,2,9,78551S,69,69,73.1517863571567,71.7070178050912,73.1517444495909
1038,1,2,10,Sg_18,75,76,76.5908288297601,74.6420129062731,76.5907379654918
1039,1,2,11,H124w,76,76,76.529731212273,75.0770389572515,76.5295944032766
1040,1,2,12,B73,75,76,76.4684061060531,74.5120716562325,76.4682287143991
1041,1,2,13,F2834T,76,78,77.406773664156,74.9470859586135,77.4065632230783
1042,1,2,14,CSJ3,56,59,67.8447829754761,64.8820607428901,67.8445484505316
1043,1,2,15,Yong_28,75,77,76.7823973924992,74.3169753142586,76.7821487547382
1044,1,2,16,W810G,73,76,76.2195937404052,73.2518085188359,76.2193415342268
1045,1,2,17,INBRED_309,73,81,78.6563494889128,73.1865343553745,78.6561047129401
1046,1,2,18,B97,72,77,76.5926433771235,72.6211251524857,76.5924173804354
1047,1,2,19,FR19,69,71,73.528464982783,71.0555683261719,73.5282692119445
1048,1,2,20,NC294,77,81,78.4638105932485,74.9898616533081,78.4636564605913
